Trial,learning rate,batch size,weight decay,Accuracy,F1-score
1,3.50E-05,16,0.006129652,0.948955,0.948959
2,1.66E-05,8,0.001336734,0.951367,0.951369
3,2.31E-05,32,0.00741174,0.951635,0.951633
4,3.83E-05,16,0.003703759,0.949893,0.949892
5,2.25E-05,32,0.004870248,0.949491,0.949486
6,3.64E-05,32,0.008266476,0.947079,0.947073
7,2.11E-05,32,0.00266521,0.947615,0.947613
8,1.34E-05,16,0.004815122,0.946008,0.946008
9,3.93E-05,8,0.001509443,0.948419,0.94842
10,2.79E-05,16,0.005011261,0.946543,0.946528
11,1.15E-05,32,0.00988459,0.949357,0.949351
12,1.62E-05,8,0.00114652,0.946811,0.94681
13,1.82E-05,8,0.002044881,0.948821,0.948822
14,2.84E-05,8,0.002152878,0.946008,0.946011
15,1.42E-05,32,0.001069028,0.948687,0.948687
16,1.05E-05,8,0.003553893,0.948955,0.948958
17,2.40E-05,8,0.00177721,0.945874,0.945877
18,4.88E-05,32,0.002598259,0.947615,0.947617
19,1.83E-05,32,0.00710382,0.948955,0.948958
20,2.76E-05,8,0.001339063,0.949357,0.949351
