experiment,model,vocab_size,accuracy,f1_score,training_time,feature_dim,ngram_range,config
vocabulary_size,LR,1000.0,0.8503483386923901,0.8502817969891636,0.29837775230407715,1000,,
vocabulary_size,NB,1000.0,0.8295819935691319,0.8293400244000194,0.08887505531311035,1000,,
vocabulary_size,LR,2500.0,0.8711146838156485,0.8710430729507465,0.3375377655029297,2500,,
vocabulary_size,NB,2500.0,0.8436495176848875,0.843466611075769,0.1389319896697998,2500,,
vocabulary_size,LR,5000.0,0.8802250803858521,0.8801891024400414,0.21942615509033203,5000,,
vocabulary_size,NB,5000.0,0.8542336548767417,0.85411338861628,0.09134125709533691,5000,,
vocabulary_size,LR,7500.0,0.8803590568060021,0.880326247739831,0.23076128959655762,7500,,
vocabulary_size,NB,7500.0,0.8610664523043944,0.8609785100494249,0.1070854663848877,7500,,
vocabulary_size,LR,10000.0,0.882502679528403,0.8824716577128681,0.2673306465148926,10000,,
vocabulary_size,NB,10000.0,0.8605305466237942,0.8604632358264135,0.11437225341796875,10000,,
vocabulary_size,LR,15000.0,0.8831725616291533,0.8831387036966402,0.4714951515197754,15000,,
vocabulary_size,NB,15000.0,0.8617363344051447,0.861677414366983,0.11475276947021484,15000,,
vocabulary_size,LR,20000.0,0.8837084673097535,0.883671027454684,0.8115525245666504,20000,,
vocabulary_size,NB,20000.0,0.8638799571275455,0.8638284503665631,0.15610671043395996,20000,,
ngram_range,LR,,0.8786173633440515,0.8785611061532854,,10000,"(1, 1)",
ngram_range,NB,,0.844855305466238,0.8448070412114256,,10000,"(1, 1)",
ngram_range,LR,,0.882502679528403,0.8824716577128681,,10000,"(1, 2)",
ngram_range,NB,,0.8605305466237942,0.8604632358264135,,10000,"(1, 2)",
ngram_range,LR,,0.882502679528403,0.8824716577128681,,10000,"(1, 3)",
ngram_range,NB,,0.8591907824222936,0.8591056853595793,,10000,"(1, 3)",
ngram_range,LR,,0.7911307609860665,0.7905982606733127,,10000,"(2, 2)",
ngram_range,NB,,0.7972936763129689,0.7967368774652209,,10000,"(2, 2)",
ngram_range,LR,,0.7885852090032154,0.7880195670079869,,10000,"(2, 3)",
ngram_range,NB,,0.794882100750268,0.7942948815689401,,10000,"(2, 3)",
preprocessing,LR,,0.90005359056806,,,10000,,no_preprocessing
preprocessing,NB,,0.877545551982851,,,10000,,no_preprocessing
preprocessing,LR,,0.8822347266881029,,,10000,,stop_words_only
preprocessing,NB,,0.859994640943194,,,10000,,stop_words_only
preprocessing,LR,,0.882502679528403,,,10000,,stop_words_min_df
preprocessing,NB,,0.8605305466237942,,,10000,,stop_words_min_df
preprocessing,LR,,0.882502679528403,,,10000,,full_preprocessing
preprocessing,NB,,0.8605305466237942,,,10000,,full_preprocessing
